first_name,last_name,dob,year_of_birth,gender,zip,address
annkathrin,ladeckbolnbach,19620819,1962,F,85639,mohammed-henschel-allee 74
hansguenter,sontag,19571007,1957,M,11987,carola-nette-strasse 6
gerda,junk,19531006,1953,F,31211,martha-ruppersberger-allee 98
gert,dippel,19720321,1972,M,3015,wulfallee 3
detlev,putz,19791201,1979,M,17524,lara-conradi-gasse 53
meral,mentzel,19690316,1969,F,86606,drewesring 5
fredo,dussenvan,19870113,1987,M,85614,evangelos-hande-ring 70
luis,ehlert,19780204,1978,M,31827,schwitalring 63
horst,hermighausen,19820627,1982,M,44464,anto-zimmer-gasse 8
branko,bergerruppert,19711110,1971,M,9882,boernerstrasse 77
hulda,walter,19520425,1952,F,13593,gunter-stoll-weg 13
marisa,eberth,19770813,1977,F,95699,friedrich-wilhelm-lorch-ring 5
evelyn,ditschlerin,19501123,1950,F,70404,xenia-trupp-ring 32
elmar,baehr,19800315,1980,M,44758,adlerweg 6
eveline,winkler,20000117,2000,F,48809,viktoria-franke-platz 9
friederike,junken,19871011,1987,F,56057,mechthilde-jessel-allee 866
charlotte,kabus,20040111,2004,F,94233,schleichring 242
willfried,gierschnermargraf,19500908,1950,M,254,koehlerring 928
brita,krause,19870804,1987,F,2113,yasmin-roht-allee 60
steven,loechel,19880225,1988,M,16157,henschelstrasse 787
zeki,etzler,19610330,1961,M,5988,schwitalgasse 4
philipp,sager,20060314,2006,M,84249,jane-barkholz-platz 9
helena,dussenvan,19980417,1998,F,9302,kristina-cichorius-allee 1482
eckard,nohlmans,19650417,1965,M,30669,erich-girschner-strasse 8
felizitas,doerschner,19850630,1985,F,13054,harloffplatz 452
vladimir,pruschke,19450308,1945,M,48913,veronique-zirme-gasse 955
joanna,geissler,19890510,1989,F,62602,ruststrasse 51
irmengard,seifert,19681125,1968,F,97303,nicolas-fiebig-strasse 4
holger,ruppersberger,19841005,1984,M,25752,luzia-losekann-ring 5
ludmila,barthsorgatz,19690202,1969,F,51448,anna-luise-haenel-platz 2
urban,gierschnerkroker,19570604,1957,M,41206,lachmannplatz 6
gesa,zirme,19450903,1945,F,59309,seifertweg 74
branko,gierschnerweitzel,19940611,1994,M,85624,klemens-hering-gasse 22
antoinette,pechel,19540927,1954,F,97019,schombergasse 3
veronique,schmidtke,19651218,1965,F,78415,raedelstrasse 27
annelies,stahr,19680922,1968,F,45522,girschnerplatz 24
heinzwilhelm,ruppert,19550528,1955,M,99736,handering 927
kemal,pechel,19950210,1995,M,64352,holzapfelweg 34
anna,ullmann,19490126,1949,F,86142,ortmannring 93
henrike,ullrich,20000424,2000,F,25237,ulrich-budig-weg 9
ronald,seifert,19761009,1976,M,96795,kreuselallee 787
ron,schlosser,19520511,1952,M,83727,enver-flantz-allee 699
jadwiga,schmidt,19501031,1950,F,48887,samir-bolander-weg 6
helge,groettner,20040502,2004,M,23687,soedinggasse 5
eberhard,zorbach,19800904,1980,M,64605,antoinette-reinhardt-allee 39
veronika,hess,19671113,1967,F,6397,jonas-hertrampf-allee 8
ingetraud,stadelmannreichmann,19690217,1969,F,29663,eimergasse 19
halina,henk,19870610,1987,F,14869,eggert-schacht-strasse 80
katharine,kusch,19530706,1953,F,416,burghard-paertzelt-ring 164
margot,buchholz,19771118,1977,F,14944,hans-detlef-beckmann-gasse 91
maik,hoevel,19660917,1966,M,6995,jacobgasse 2
madlen,klotz,19600229,1960,F,66575,henschelring 3
marika,wirth,19740503,1974,F,82444,schmiedtplatz 96
william,haering,19610126,1961,M,11335,birnbaumstrasse 57
hansulrich,gude,19680321,1968,M,59976,hermine-schwital-gasse 6
carla,eckbauer,20070530,2007,F,73878,margit-juncken-weg 7
vito,rudolph,19630416,1963,M,49002,doehnallee 69
berndt,patbergeimer,19550409,1955,M,81512,ismail-becker-ring 75
birger,kusch,19750525,1975,M,96080,siegmar-stumpf-gasse 2
sevim,wesack,19910731,1991,F,41962,michaela-rogge-platz 32
klemens,rosemann,19890916,1989,M,1092,heydrichallee 3
ricardo,poelitz,19720119,1972,M,64483,schottinstrasse 8
harriet,trupp,20011222,2001,F,9870,steckelweg 7
christin,krein,19450327,1945,F,62958,franjo-dippel-weg 6
mariana,klemm,19490302,1949,F,25896,loefflergasse 73
jochem,loos,19720521,1972,M,58590,ruststrasse 6
folkert,ditschlerin,19841202,1984,M,63631,weimerring 47
karl,heinzgotthardullrich,19831229,1983,M,99877,muelichenallee 38
irina,stoll,19911116,1991,F,52132,hartmannstrasse 10
alexandros,killer,19610822,1961,M,94221,steuerstrasse 5
willi,maelzer,19471024,1947,M,18709,sylvia-schuster-allee 8
astrid,ullmann,19570516,1957,F,25171,jochem-stiebitz-weg 4
kristine,poelitz,19660729,1966,F,82069,tabea-ortmann-ring 10
albrecht,jockel,19530731,1953,M,12181,ritterstrasse 24
balthasar,henk,19761009,1976,M,25477,annelie-rogner-platz 6
mattias,plath,19561123,1956,M,2347,arnim-zobel-ring 45
henri,jacobijaeckel,19641030,1964,M,76252,stumpfring 2
maja,etzlerschoenland,19590426,1959,F,15912,berndt-gotthard-ring 73
christin,freudenberger,19841224,1984,F,58249,jopichweg 35
iwan,christophhenschel,19511002,1951,M,76505,pergandeplatz 8
ralph,huhn,19921223,1992,M,56728,steven-gutknecht-platz 1
beata,stumpf,19670705,1967,F,73865,beatrix-sontag-platz 3
teresa,fechner,19921019,1992,F,38949,schustergasse 70
helga,segebahn,19530612,1953,F,36247,ullrichstrasse 15
ellen,kitzmann,19681117,1968,F,50828,kenan-luebs-weg 7
murat,linke,19981024,1998,M,70975,wilmsenstrasse 18
luis,loewer,19630825,1963,M,52608,ackermannallee 5
magdalena,bauer,19560506,1956,F,38239,auch schlauchinstrasse 30
doris,peukertscheel,19550511,1955,F,80719,raimund-schaefer-gasse 1
iwan,hillersager,19581217,1958,M,97476,loefflerplatz 82
benno,hoelzenbecher,19530731,1953,M,68644,marta-salz-allee 23
ruth,heinz,20050217,2005,F,78485,ernst-dieter-birnbaum-weg 513
amelie,taesche,19751221,1975,F,22936,tschentschergasse 92
priska,kabus,19981124,1998,F,26144,koehlerallee 34
arif,lange,19940304,1994,M,75812,grein grothplatz 2
nuri,fliegner,19540716,1954,M,48973,doerrweg 1
sigurd,speer,19640424,1964,M,45337,schlosserstrasse 31
halil,schaefer,19530416,1953,M,42396,hans-willi-trueb-allee 9
tom,biggen,19780629,1978,M,56270,schaeferallee 2
burghard,ernst,19760109,1976,M,44138,dussen vanring 9
helga,seifert,19901224,1990,F,2749,bolanderstrasse 98
reimund,bloch,19600324,1960,M,38022,eberhardtgasse 547
francoise,hartung,19620407,1962,U,75021,kostolzinplatz 58
annaluise,ruppersberger,19861111,1986,F,86558,hatice-doehn-strasse 28
desiree,binner,19710715,1971,F,58454,gertraud-steinberg-allee 40
sigurd,kraushaar,19820628,1982,M,37196,lotti-putz-allee 4
wieland,gehringer,19500117,1950,M,68862,eileen-schmidtke-gasse 35
rico,froehlich,19830205,1983,M,38575,scholzgasse 45
philip,radisch,19620702,1962,M,39703,troestgasse 1
wolfruediger,junk,19850428,1985,M,8796,mirella-hartung-weg 21
vito,bender,19720624,1972,M,5051,helmuth-klapp-strasse 2
birger,ernst,19731101,1973,M,48256,charlotte-bachmann-weg 2
burkhardt,hartmann,20021010,2002,M,98397,wiltrud-matthaei-ring 70
maximilian,schomber,19901108,1990,M,86500,dagobert-schomber-weg 2
leonardo,stollrust,19540701,1954,M,94977,weissstrasse 6
evi,klotzsalz,19760518,1976,F,11649,schinkeweg 3
stjepan,etzold,19980523,1998,M,5757,heimo-hess-weg 10
annemie,bolzmann,19770311,1977,F,65571,roseplatz 6
serge,hoffmann,19680928,1968,M,47826,pohlring 26
lutz,mans,20030911,2003,M,80830,holstenallee 4
sina,bien,20030409,2003,F,72469,ehlertgasse 95
hermine,schottin,20001005,2000,F,9989,budigplatz 810
drago,jockel,19860316,1986,M,89472,beckmannplatz 925
geza,steuer,19521127,1952,U,30887,enrico-rose-platz 480
francisco,kuehnert,19651225,1965,M,97238,zirmeplatz 3
herbert,gotthard,19721202,1972,M,37135,raimund-trupp-strasse 49
harry,preiss,19571120,1957,M,33683,lehmannplatz 1
pietro,trueb,19780209,1978,M,88134,hanni-ackermann-gasse 7
mahmoud,ebert,20030821,2003,M,84663,sagerstrasse 39
necati,moechlichen,19791115,1979,M,94460,blochring 66
siegrid,koch,19750828,1975,F,20195,karola-holt-weg 241
valentin,weihmann,19540727,1954,M,51811,neureuthergasse 81
miodrag,krebsplath,19590508,1959,M,71492,soedingplatz 3
felizitas,loewer,19600822,1960,F,87033,steckelstrasse 57
simon,juettner,19560406,1956,M,56425,delia-spiess-allee 706
traude,zaenkerroht,19510204,1951,F,9735,anatoli-schottin-ring 60
lukas,hermighausen,19520826,1952,M,66943,leonie-spiess-weg 21
slawomir,wernecke,19530816,1953,U,38476,hanno-ortmann-gasse 5
sieglinde,trubin,19660221,1966,F,48172,horst-dieter-kroker-platz 6
dorina,kitzmannmielcarek,19530426,1953,F,91722,ludwig-jacobi jaeckel-weg 76
evamaria,oderwald,19561019,1956,F,26478,muellerweg 60
